year,car_age,mileage,car_price
2016,7,89000,12900
2001,22,212714,1800
2011,12,140000,11500
2022,1,33000,29999
2022,1,17113,46000
2003,20,218000,5000
2020,3,39657,43500
2021,2,11500,23500
2014,9,82500,15900
2013,10,125000,9500
2000,23,185000,15000
1997,26,164051,4000
2004,19,104500,19000
2008,15,133651,5000
2005,19,73000,7500
